Project Name,Departments,Description,Teams,People,DRI 2,Start Date,End Date,Company Key Result,Department Key Results
"Drive IT & Security aspects for V1 Product (3P vendors, security..)",Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),100% new IT and security compliance (https://www.notion.so/100-new-IT-and-security-compliance-3190d12e7cbd8018a262e0ffd0caff86?pvs=21)
"Drive IT & Security aspects for V2 Product (3P vendors, security..) ",Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),100% new IT and security compliance (https://www.notion.so/100-new-IT-and-security-compliance-3190d12e7cbd8018a262e0ffd0caff86?pvs=21)
"Drive IT & Security aspects for AI-Equity-Product (3P vendors, security..) ",Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),100% new IT and security compliance (https://www.notion.so/100-new-IT-and-security-compliance-3190d12e7cbd8018a262e0ffd0caff86?pvs=21)
Identity & Access Management Review,Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"April 6, 2026","May 1, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"100% compliance company readiness (audit, GDPR, SOC1/2) (https://www.notion.so/100-compliance-company-readiness-audit-GDPR-SOC1-2-3190d12e7cbd807686b1d1b8e47894a0?pvs=21)"
Unified Endpoint Management / MDM Program,Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","March 20, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),No department key results (https://www.notion.so/No-department-key-results-3190d12e7cbd80caa8c4f6d4204d2dd7?pvs=21)
SaaS Management - Configure and Deploy,Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","February 27, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),No department key results (https://www.notion.so/No-department-key-results-3190d12e7cbd80caa8c4f6d4204d2dd7?pvs=21)
"Compliance Program Maturity (SOC1 + Other) ",Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"July 6, 2026","September 25, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"100% compliance company readiness (audit, GDPR, SOC1/2) (https://www.notion.so/100-compliance-company-readiness-audit-GDPR-SOC1-2-3190d12e7cbd807686b1d1b8e47894a0?pvs=21)"
"Privacy Program Stability (GDPR + SOC2) ",Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"100% compliance company readiness (audit, GDPR, SOC1/2) (https://www.notion.so/100-compliance-company-readiness-audit-GDPR-SOC1-2-3190d12e7cbd807686b1d1b8e47894a0?pvs=21)"
Helpdesk + Onboarding / Offboarding Stability,Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"January 5, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"100% IT and security employee compliance scores (https://www.notion.so/100-IT-and-security-employee-compliance-scores-3190d12e7cbd80b4a3c1dbb026ba8693?pvs=21), 100% compliance company readiness (audit, GDPR, SOC1/2) (https://www.notion.so/100-compliance-company-readiness-audit-GDPR-SOC1-2-3190d12e7cbd807686b1d1b8e47894a0?pvs=21)"
Phsyical Laptop Inventory Management,Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),,IT (https://www.notion.so/IT-3260d12e7cbd80eaab12f6fa421d891e?pvs=21),Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),"July 6, 2026","July 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"100% compliance company readiness (audit, GDPR, SOC1/2) (https://www.notion.so/100-compliance-company-readiness-audit-GDPR-SOC1-2-3190d12e7cbd807686b1d1b8e47894a0?pvs=21)"
