Project Name,Departments,Description,Teams,People,DRI 2,Start Date,End Date,Company Key Result,Department Key Results
"Deliver 1-2 Initiatives solving blockers/ accelerators (if any) to top 1-2 channel partnerships ",Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"April 1, 2026","September 30, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),No department key results (https://www.notion.so/No-department-key-results-3190d12e7cbd80caa8c4f6d4204d2dd7?pvs=21)
"Complete Product Discovery, Go/NoGo, V1 Direction",Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 1, 2026","January 31, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",MVP launch (https://www.notion.so/MVP-launch-3190d12e7cbd80d6aa8cc86e5c9cfe53?pvs=21)
Complete V1 Reqs and Designs,Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 1, 2026","April 2, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",MVP launch (https://www.notion.so/MVP-launch-3190d12e7cbd80d6aa8cc86e5c9cfe53?pvs=21)
"Complete Product Discovery, Go/NoGo, V2 Product Direction",Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"April 1, 2026","May 31, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",MVP launch (https://www.notion.so/MVP-launch-3190d12e7cbd80d6aa8cc86e5c9cfe53?pvs=21)
Complete V2 Product Reqs and Designs,Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"July 1, 2026","June 30, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",MVP launch (https://www.notion.so/MVP-launch-3190d12e7cbd80d6aa8cc86e5c9cfe53?pvs=21)
"Deliver Top 3-4 App Initiatives / Quarter to Optimize Fit for target Growth Stage Customers ",Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 1, 2026","December 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),2-3 initiatives / quarter per app team (https://www.notion.so/2-3-initiatives-quarter-per-app-team-3190d12e7cbd80798824cdd7577d301b?pvs=21)
"Refine Process to Account for Retention of Top Growth Stage Customers When Prioritizing Initiatives  ",Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"April 1, 2026","December 31, 2025",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"2-3 key equity Intelligence releases (https://www.notion.so/2-3-key-equity-Intelligence-releases-3190d12e7cbd80529b9ed239ee9ef868?pvs=21), 2-3 initiatives / quarter per app team (https://www.notion.so/2-3-initiatives-quarter-per-app-team-3190d12e7cbd80798824cdd7577d301b?pvs=21)"
Deliver Required Product Changes due to Revised Pricing/Packaging (if any),Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 1, 2026","June 30, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),No department key results (https://www.notion.so/No-department-key-results-3190d12e7cbd80caa8c4f6d4204d2dd7?pvs=21)
Deliver 1/Q AI-Native Equity Initiative,Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 5, 2026","December 31, 2206",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),2-3 key equity Intelligence releases (https://www.notion.so/2-3-key-equity-Intelligence-releases-3190d12e7cbd80529b9ed239ee9ef868?pvs=21)
Mature Pulley’s Product Ops,Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),,Product Management (https://www.notion.so/Product-Management-31a0d12e7cbd80b9905eeaf0f04a6a92?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),"January 5, 2026","December 31, 2206","Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21)","2-3 key equity Intelligence releases (https://www.notion.so/2-3-key-equity-Intelligence-releases-3190d12e7cbd80529b9ed239ee9ef868?pvs=21), MVP launch (https://www.notion.so/MVP-launch-3190d12e7cbd80d6aa8cc86e5c9cfe53?pvs=21)"
